,id,year,debt,threat,rec1,rec2,rd_ratio,se,log_assets,mkt_share,mkt_growth
9740,378.0,19.0,0.0,1.2474999,0,0,0.01315843692054117,-0.0038458088169275434,4.202092226372425,0.02652491656045649,0.18675995606098883
9746,270.0,20.0,0.0,12.1785,0,0,0.1026377203090466,-0.0663114658979448,5.380620594242987,0.053832033824378206,0.07481226202899961
9748,378.0,20.0,0.369,1.258,0,0,0.019147551028223492,-0.01190768858294229,4.5385281206185315,0.02655450628588677,0.07481226202899961
9749,396.0,20.0,8.092,1.229,0,0,0.0,0.044429844372356586,3.1926550452251186,0.0217299580025665,0.07481226202899961
9770,378.0,21.0,0.227,1.2672,0,0,0.015739617306900273,-0.013454628061624882,4.5731014364625855,0.02823845788906688,0.07838657451563627
9772,396.0,21.0,9.833,1.3665,0,0,0.0,0.03926435162957236,3.2018110462416085,0.020471050997733335,0.07838657451563627
9780,396.0,22.0,8.708,1.425,0,0,0.0,0.03945621778733922,3.0840636123439555,0.020578189759299516,-0.024788853506130706
9789,378.0,22.0,0.069,1.2237,0,0,0.01585131504727669,-0.014199910680921262,4.697922551919229,0.033713691408017214,-0.024788853506130706
9798,378.0,23.0,0.0,1.2131,0,0,0.016504847674177255,-0.014880316254470975,4.874005773893493,0.03584624771314935,0.16967153555326123
9799,396.0,23.0,7.351,1.2640001,0,0,0.0,0.03522861066495342,2.927346360687526,0.017019410309260474,0.16967153555326123
9805,396.0,24.0,10.13,1.2728,0,0,0.0,0.035617854885965416,2.856872424170572,0.015422748254685745,0.08478352536072764
9806,378.0,24.0,0.0,1.1791,0,0,0.015493926133244679,-0.013285512604299382,4.911087481529027,0.03285612112742426,0.08478352536072764
9808,54.0,24.0,282.406,65.862297,0,0,2.567022752247302,-0.17790079294914515,6.600183375432035,0.014101299200597245,0.08478352536072764
9823,161.0,1.0,34.27,1.0596,0,0,0.09192291894224021,-0.08462068513284342,6.78502251359984,3.7742856579709168,-0.7314524379326947
9839,195.0,2.0,1.333,1.7323,0,0,0.10744259699129056,-0.12484726186048982,2.935079526342041,0.03983711823017973,1.3360504890058644
9869,195.0,3.0,0.782,1.6766,0,0,0.11693919091102144,-0.10718483286805759,3.3040989371986047,0.033936210134396835,0.3130194783479193
9879,195.0,4.0,0.091,2.0137999,0,0,0.11162510693577517,-0.09770337429843237,3.4340517185331025,0.04329893102634353,-0.12449832716968849
9897,195.0,5.0,2.254,1.9831001,0,0,0.12043206754906434,-0.09322881726706693,3.582852049468406,0.04018214634796191,0.12208801792870141
9911,195.0,6.0,5.851,2.3877001,0,0,0.09626390504097797,-0.06799431380034357,3.853355217762302,0.044720274641168734,0.1942563164402284
9930,195.0,7.0,3.32,1.8518,0,0,0.08216597783548517,-0.06354901483823888,3.898572957703742,0.05506143606452168,0.016714000452772063
9976,400.0,12.0,4.416,1.2009,0,0,0.06066805534890641,-0.05787476392454515,2.8858057941753867,0.01291677592602783,-0.025730570069213456
10003,400.0,13.0,3.806,1.1299,0,0,0.07846145389466508,-0.0970946271510516,3.065398251787094,0.01609975080328047,0.05052991428779367
10013,400.0,14.0,2.323,1.5588,0,0,0.058955845888261145,-0.05291359218017414,3.1733762407968347,0.016301068837104464,0.07266164394261859
10020,400.0,15.0,1.708,1.6087,0,1,0.04989052867229206,-0.04610513447329533,3.164841936375715,0.016741151729462,0.03526992407433525
10034,400.0,16.0,1.056,1.9001,0,0,0.0718562874251497,-0.09665753534246575,2.9041650800285006,0.01631167138132813,-0.13561477422516827
10051,400.0,17.0,0.0,1.772,0,0,0.07012372332475297,-0.06960604136898689,2.6876433913245474,0.010439937474110915,0.09924605487088099
10054,400.0,18.0,0.0,1.409,0,0,0.15700860095318694,-0.11522958815282158,3.127812613911199,0.009707142250311352,0.0024841425082410534
