id,year,assets,debt,earnings,cashflow,sales,mv,ad,rd,threat,fv,rec1,rec2,mkt,sector
903,2018,916.937,193.772,123.387,64.925,868.3819999999999,1298.5532,4.3000002,6.0999999,1,1.3847268,0,0,196.019,2
1147,1993,109.524,48.077,-17.607,-44.842,92.652,20.698601,3.0190001,3.2090001,2.8894,.49716592,0,0,46.362999,5
736,1993,19927.5,1120.8,4262.3,3048.5,10498.2,43104.016,235,1172.8,1.7364,2.22737,0,0,2678.8999,5
533,1993,7687.353,859.278,2186.597,1681.388,8304.851000000001,20093.609,613.57599,662.68903,1.2435,2.3063483,0,0,2309.0029,5
742,1993,104.999,24.302,4.888,-6.317,93.03400000000001,111.98,1.376,5.3920002,1.5315,1.0314194,0,0,32.470001,2
757,1993,4828.1,546.2,985,466.2,5793.7,9054.4502,1306.7,464.89999,1.14,1.9464903,0,0,1289.4,5
837,1994,959.579,54.097,180.193,129.717,700.848,1816.2743,7.9549999,41.283001,1.0709,1.7265751,0,0,253.334,2
726,1994,83.562,80.559,-8.430999999999999,-16.578,98.259,4.4612498,2.477,.69999999,1.0193,.87122434,0,0,37.973,1
749,1994,100.653,17.327,28.724,33.6,231.572,162.06934,2.2720001,2.233,1.104,1.4010843,0,0,20.853001,2
1169,1994,725.439,91.369,91.50700000000001,-28.343,1468.44,701.98871,38.792999,0,2.0771999,.70959473,0,0,381.25299,4
950,1994,130.821,37.439,13.243,9.255000000000001,606.508,13.416,13.482,0,2.2823999,.46981755,0,0,132.96899,4
757,1994,5532.8,535.2,1192.5,645,6416.8,10363.892,601.29999,456,1.0599,1.9406434,0,0,2193.3,5
761,1994,4992,560,1287,968,6690,9176,208,78,1.0027,1.9631411,0,0,1358,1
732,1995,17873,2107,4368,3382,18842,55376.641,1030,1634,1.0784,3.0176041,0,0,6432,5
1186,1995,1.545,0,.04,.007,5.023,4.5405002,.27599999,.176,1.4467,2.5103559,0,0,1.5090001,1
739,1995,17.399,6.087,2.617,-1.628,31.079,15.224,.34,0,1.1731,.58325189,0,0,7.2020001,5
7,1995,615.1319999999999,147.18,40.114,40.219,709.109,156.7215,160.77901,20.74,1.0675,.41407779,0,0,98.325996,1
1251,1995,4.356,0,.302,.013,6.456,7.3080001,.34099999,.41999999,1.0058,.92539024,0,0,2.8399999,2
190,1995,50.189,.388,5.145,5.089,62.139,46.264591,.829,.59799999,1.015,.58221108,0,0,15.845,2
1010,1995,15.189,0,3.159,2.193,14.397,17.919001,.14,.27500001,1.418,.51978403,0,0,4.296,2
2037,1995,3519.647,1770.098,587.564,347.706,5221.476,2148.5239,92,49,1.3122,1.1166739,0,0,712.78302,2
757,1995,6100.9,634.5,1269.1,799.2,7039.8,13170.053,644,501.20001,1.0335,2.20488,0,0,2399.8999,5
894,1995,93.997,26.25,6.528,2.365,111.313,54.535,.31799999,0,1.0105,.59575307,0,0,21.003,5
1449,1995,19.287,0,.929,-.61,56.217,14.34675,0,0,2.0943999,.35219318,0,0,5.698,3
1169,1995,735.269,83.298,52.783,43.046,1584.942,422.38696,42.345001,0,2.8657999,.35390717,0,0,429.60199,4
743,1994,21.804,1.775,1.317,.506,31.916,9.2470102,2.2219999,0,1.1106,.4506976,0,0,4.6370001,8
2343,1996,423.957,13.5,46.752,20.239,696.107,378.13449,19.743,0,3.8264,.66180885,0,0,217.985,4
1010,1996,13.082,0,2.96,.792,14.153,17.943125,.15000001,.24600001,1.8612,.76327205,0,0,4.1809998,2
1186,1996,1.736,0,.102,.012,5.842,3.4023478,.23,.206,1.4792,1.5480114,0,0,1.586,1
1169,1996,704.731,74.907,71.724,163.354,1591.964,427.30798,44.172001,0,3.3294001,.30381519,0,0,435.67999,4
2101,1996,8.215,0,.425,-1.762,13.523,47.541,.027000001,0,1.1458,5.1084599,0,0,2.605,3
1588,1995,235.81,5,77.48699999999999,37.084,601.252,1518.7672,9.2840004,0,2.4985001,6.089819,0,0,173.16699,4
743,1995,19.309,1.605,1.551,1.049,31.282,4.6322927,1.799,0,1.2306,.22757743,0,0,5.8400002,8
950,1996,124.181,41.243,13.844,9.728,601.143,15.9315,14.028,0,3.1807001,.44949308,0,0,132.964,4
190,1996,49.85,2.379,2.828,1.022,66.782,34,.889,1.722,1.0483,.39482448,0,0,15.074,2
894,1996,61.296,5.25,13.648,16.312,156.254,117.97625,.285,0,1,1.8177247,0,0,29.434,5
23,1996,17.383,.091,1.759,1.146,54.864,17.525,.28400001,.028999999,1,.55525512,0,0,18.399,7
1307,1996,372.225,10.639,-5.358,.178,98.111,258.32251,8.8059998,4.0079999,7.6272998,.44002551,0,0,48.432999,5
2290,1996,6.292,0,-3.41,-3.176,0,37.275002,.131,1.6210001,1.5405,5.0060396,0,0,1.658,7
2037,1996,3519.615,1741.847,664.9,352.761,5804.561,3005.4172,88,81,1.3935,1.3063421,0,0,736.427,2
2160,1996,27.253,0,-3.548,-.214,4.701,30.4575,1.818,18.591999,18.750401,1.1111621,0,0,-13.684999,6
881,1996,64.175,13.186,8.228,4.687,117.313,48.943001,2.322,1.245,1.0409,.64455009,0,0,28.030001,2
757,1996,7197.3,1720.5,1444.7,1022.3,7231.4,20340.301,670.59998,554.79999,1.0865999,2.9751296,0,0,2445.2,5
739,1996,15.998,3.419,2.069,2.133,29.792,26.491865,.29499999,.37400001,1.2368,1.1587614,0,0,7.9879999,5
732,1996,20010,1410,5312,3891,21620,66291.078,1260,1905,1.0737,3.1741669,0,0,7134,5
2214,1996,34.603,0,6.395,3.558,48.528,118.33699,2.342,0,3.6326001,2.9164519,0,0,10.871,4
859,1996,13.334,0,2.481,2.369,10.303,16.798124,.33399999,.035,1.0286,.83464265,0,0,3.369,2
2047,1996,8.243,0,-4.873,-4.673,5.469,25.077,.12899999,1.846,1.2449,3.1990781,0,0,4.6230001,6
1449,1996,16.382,0,1.347,5.664,64.20099999999999,13.365951,.034000002,0,2.1845,.29660299,0,0,6.1199999,3
2129,1996,48.369,0,2.502,.9360000000000001,42.54,65.317497,1.174,7.026,28.0583,.76537657,0,0,27.853001,6
1508,1996,19.044,0,11.438,5.255,22.463,178.07326,.537,1.653,1.5694,8.5008011,0,0,3.1659999,2
1251,1996,4.164,.052,.11,-.473,7.12,10.50525,.264,.583,1.0251,1.7870437,0,0,2.928,2
2191,1996,88.309,0,9.856,1.408,100.644,362.082,.368,0,1.1954,3.3607106,0,0,20.089001,3
1616,1996,101.02,48.944,-11.035,-16.235,316.637,9.5474186,5.9809999,0,1.9766001,.43265116,0,0,76.480003,4
2101,1997,10.907,.9340000000000001,.432,-1.839,17.374,8.1640806,.228,0,1.0375,.18245904,0,0,3.9549999,3
1508,1997,24.211,0,12.333,4.557,27.267,109.175,.66600001,2.4679999,1.8178,3.7058363,0,0,3.967,2
23,1997,18.8,.052,4.385,1.162,62.885,22.85725,.20299999,.44600001,1,.68442822,0,0,18.216999,7
859,1997,13.513,0,2.67,3.295,10.988,14.754,.33500001,.050000001,1.0618,.6999926,0,0,3.5150001,2
1010,1997,15.56,0,2.949,1.621,18.659,19.700001,.139,.55599999,2.2574,.70526993,0,0,6.0209999,2
881,1997,66.804,.7,9.144,3.266,115.687,59.624249,2.2869999,1.405,1.0504,.64255506,0,0,27.955,2
1435,1996,33.966,1.08,2.608,4.736,40.96,8.3699999,.1,.41600001,1.2636,-.062120944,0,0,7.3979998,2
2214,1997,89.61499999999999,4.293,15.209,9.048,141.714,264.4498,7.0339999,0,5.6824002,2.8434057,0,0,31.895,4
1587,1996,95.39700000000001,2.264,7.602,24.217,204.042,25.794874,11.066,0,3.4008999,-.22503984,0,0,54.917,4
64,1996,131.055,44.518,14.483,14.929,88.65000000000001,94.705002,6.632,5.4720001,1.35,.46871161,0,0,19.523001,2
894,1997,65.941,0,21.366,16.581,165.353,202.93602,.161,0,1,2.76846,0,0,29.655001,5
2355,1997,3.903,.125,-2.396,-1.108,.521,9.0749998,.072999999,.86199999,1.016,2.8918781,0,0,1.858,7
1186,1997,2.068,.049,.459,-.071,7.44,9.276,.17200001,.273,1.503,3.9279497,0,0,1.7970001,1
2107,1996,1060.839,880.265,122.858,.366,2312.673,35.619991,37.480999,0,2.918,.90088695,0,0,545.40802,4
2153,1997,19.996,0,-5.228,-4.692,2.854,144.00575,1.132,.98100001,2.6896999,6.4144206,0,0,4.4190001,5
2375,1997,3.483,.068,-1.876,-2.778,2.433,7.8049998,.105,.87599999,6.5405002,1.5549814,0,0,1.51,2
1449,1997,18.224,0,1.346,-.525,68.631,14.998875,.0020000001,0,1.9605,.2836301,0,0,6.4640002,3
1251,1997,4.116,.011,.061,.42,6.816,6.3944998,.40400001,.65799999,1.1282001,.80089891,0,0,2.7880001,2
743,1996,16.945,.918,.76,.9,17.299,2.5222559,.45500001,0,1.6068,.19252026,0,0,10.428,8
950,1997,121.5,36.996,13.507,10.125,636.731,20.664499,13.204,0,2.5787001,.44561729,0,0,142.735,4
1169,1997,775.077,62.274,116.434,141.546,1758.368,778.67389,45.409,0,3.2212,.67246467,0,0,469.54999,4
1307,1997,367.855,10.327,6.178,3.552,122.508,282.43277,4.6399999,13.146,9.4905996,.52956128,0,0,54.098,5
767,1997,789.272,57.938,-64.05500000000001,-113.015,204.328,649.71448,19.799999,3.8,1.7602,.86315173,0,0,118.239,6
2427,1997,91.262,12.9,26.247,.276,240.348,318.75,1.892,0,1.7266001,3.0290482,0,0,21.323,4
2505,1997,1262.05,942.6,215.355,71.941,1222.434,2160.3679,63.674999,1.913,1.1016999,2.3412955,0,0,355.677,1
2037,1997,3669.089,1550.772,710.52,395.384,6007.509,2757.0461,111,112,1.2678,1.2959765,0,0,756.03601,2
732,1997,21453,1126,5689,4343,22629,88610.898,1260,2140,1.0585999,3.9368341,0,0,7455,5
757,1997,8030.5,1831.2,1699.2,1563.8,8179.8,33806.68,819.79999,672.20001,1.1076,4.3496394,0,0,2856.5,5
2478,1997,66.06699999999999,0,9.242000000000001,1.452,138.056,84.231873,4.0830002,0,2.4602001,.65475768,0,0,39.365002,4
2047,1997,8.484,3,-2.195,-.679,7.938,66.106155,.056000002,0,1.0286,7.9513383,0,0,4.8330002,6
2515,1997,7.184,.082,-3.698,-1.954,3.357,27.323999,4.6399999,.045000002,1.5836999,2.9610245,0,0,1.0180001,5
1616,1997,94.84999999999999,47.623,3.668,-2.222,293.924,7.7472849,.86400002,0,1.757,.40565404,0,0,64.848,4
2129,1997,59.45,0,7.98,10.113,50.514,104.922,1.517,7.1539998,24.7906,1.1396804,0,0,29.493,6
190,1997,53.088,2.397,3.777,2.798,65.747,27.200001,.87599999,3.1300001,1.0266,.29390824,0,0,12.392,2
2191,1997,108.115,.5,14.092,4.193,150.793,318.397,.44800001,0,1.1049,2.3498034,0,0,30.434,3
1588,1996,329.925,0,104.046,60.734,823.178,1783.678,12.3,0,2.9310999,5.0375056,0,0,238.261,4
739,1997,18.602,1.594,2.966,1.623,34.987,22.913,.257,.58899999,1.2291,.72040641,0,0,8.1409998,5
2343,1997,472.099,0,63.485,75.158,874.224,842.7041,25.160999,0,3.5864,1.5236828,0,0,275.63199,4
2025,1997,12127,4334,1584,573,8734,12789.741,223,95,1.5263,1.4162399,0,0,2159,1
2047,1998,11.425,2.999,.852,-.487,12.268,32.375751,.168,1.186,1.0448,2.7284682,0,0,3.7609999,6
1307,1998,526.236,126.739,41.538,32.426,175.445,677.40051,5.1350002,11.751,8.7995005,1.3389287,0,0,61.570999,5
1587,1997,87.164,8.788,14.043,-45.101,214.148,78.415627,11.199,0,2.8257,.6988163,0,0,54.620998,4
